accountNumber,accountHolderFirstName,accountHolderLastName,balance,interest
3077646472,Jacquie,Balderston,4789490.857,0.02
8099351234,Garrott,Gallandre,1116666.519,0.04
5971815374,Leshia,Bettlestone,2429355.363,0.04
7474114662,Nadeen,MacChaell,3632183.807,0.02
6153760965,Alix,Levesque,1881589.594,0.02
4373906912,Brannon,Sidwick,3811228.97,0.02
9277619174,Morry,Jammes,152702.51,0.03
1161213704,Rolland,Glauber,1429546.811,0.03
2427680909,Annamarie,Curuclis,4550100.094,0.02
9759196637,Wallache,Harris,1754248.237,0.01
7016770775,Amelie,Glackin,4181642.063,0.04
5227459870,Terra,Dungay,4017683.884,0.01
3964531899,Ebonee,Claypoole,1254629.533,0.02
7719468129,Mignonne,Jebb,1436070.104,0.02
8025769440,Tyrus,Kynton,2057720.634,0.02
7443974204,Ram,Roly,4113711.876,0.02
6250823744,Korney,Orrice,3623587.298,0.01
3564199966,Cathy,Lindgren,589631.05,0.05
1455077071,Darsey,Jerrard,4457552.186,0.05
9392399793,Efrem,Bisatt,2614396.7,0.04
2267846166,Udall,O'Doherty,4623677.586,0.02
4161762061,Job,Kauschke,1138150.664,0.03
2479335579,Russell,O'Drought,3368473.049,0.04
1151959730,Zulema,Storrie,2865203.061,0.04
7685497761,Louise,Hexter,4195913.906,0.03
7879639541,Karna,Brash,2502728.826,0.02
8421332881,Miner,Elfitt,528484.75,0.03
6378745090,Merell,Harrod,3015034.274,0.02
1820604273,Desiri,Retallack,1960752.182,0.02
4959779515,Juliann,Owers,1400169.131,0.03
8666807418,Raynor,Raithby,4904435.855,0.04
6313010384,Fanchon,Allibon,3674401.809,0.01
9333790907,Iorgo,Postance,1194946.824,0.01
3504033022,Willabella,Bickardike,3793385.412,0.02
9237408115,Evey,Canter,3033831.465,0.02
4460789514,Bari,Schimoni,2424650.253,0.03
5558732137,Aile,Brundrett,3898169.021,0.05
6356701184,Eddi,Cridland,3313661.24,0.03
2578381878,Agnes,MacKaile,3248717.666,0.01
1704436712,Moyna,Kippins,3668624.069,0.02
9114357505,Lia,Baskeyfied,2535309.834,0.01
8195599937,Stephani,Gawthrop,3535376.021,0.02
3606219393,Sheba,Treby,4609287.604,0.02
2952664747,Rob,Brewett,2547809.142,0.05
6524874751,Flore,Crippes,966467.676,0.01
6710979004,Harwilll,Lusher,3025247.014,0.03
2237512128,Ida,Ruprechter,91575.832,0.04
2649561446,Zena,Leys,2151260.57,0.01
2649560780,Amitie,Maw,3341215.064,0.02
8553781724,Chrisy,Duchart,1443473.583,0.01
1988184704,Rosita,Bafford,1377519.194,0.03
7782295546,Winthrop,Jansa,3489182.262,0.04
9350492036,Carmita,Ogan,45542.21,0.01
2371572670,Ariella,Edling,782577.397,0.04
9456204514,Tamara,Foord,3479772.017,0.02
6007939022,Burnaby,Jenkins,941760.698,0.01
9804849262,Moll,Headan,1584691.623,0.03
6370299026,Leesa,Iorio,4274439.567,0.04
6203735367,Kerwinn,Enriquez,3377746.474,0.02
1011109536,Caresse,Filov,2916809.821,0.01
1041874206,Electra,Villiers,1741682.282,0.02
6895102455,Fedora,Tinkham,1523382.829,0.03
4960715393,Benji,Yarn,3395675.282,0.03
4557419567,Melisandra,Skirlin,3436840.541,0.03
1120491633,Isadora,Gatiss,2102107.348,0.04
9527865850,Brittani,Weathey,39051.19,0.03
2040056842,Valida,Mallall,2195899.995,0.04
2668498550,Cory,Drust,829126.048,0.03
9332692712,James,Kinge,3009388.24,0.05
4286710067,Petunia,McIlvoray,1351777.151,0.05
3079304712,Cristy,Wolfer,538533.626,0.04
6976835124,Kariotta,Whitta,4768119.845,0.04
6839271873,Tucker,Learmond,1563188.432,0.05
8475155216,Orson,Dewdeny,2608312.883,0.04
5454051062,Margaretta,Stote,984968.329,0.03
2546908859,Wilhelmina,Skedge,165869.805,0.02
7517159541,Arda,Myring,824658.681,0.04
4559014445,Trista,Bruna,1895521.408,0.03
6136133781,Rosemarie,Glass,1040749.311,0.02
9042061506,Nonie,Isgate,457891.139,0.03
1008019612,Marwin,Wadsworth,2753405.408,0.02
2970287477,Anastassia,Forsard,151108.367,0.04
3900870292,Tobi,Duchesne,673782.731,0.02
4366304716,Cacilie,Barabisch,3264100.436,0.04
4289432762,Marilin,Craythorne,3372121.49,0.02
